iter	Passed	Remaining
0	61	61082
1	61	30730
2	62	20609
3	62	15544
4	62	12504
5	63	10473
6	63	9035
7	64	7956
8	64	7109
9	64	6431
10	65	5873
11	65	5407
12	66	5014
13	66	4686
14	66	4396
15	67	4143
16	67	3925
17	68	3728
18	68	3552
19	69	3403
20	69	3257
21	70	3124
22	70	3002
23	71	2894
24	71	2790
25	71	2694
26	72	2604
27	72	2521
28	73	2445
29	73	2373
30	73	2307
31	74	2244
32	74	2185
33	74	2129
34	75	2077
35	75	2027
36	76	1980
37	76	1936
38	76	1895
39	77	1856
40	77	1820
41	78	1786
42	78	1754
43	79	1723
44	79	1694
45	80	1663
46	80	1634
47	81	1606
48	81	1579
49	81	1552
50	82	1527
51	82	1503
52	82	1480
53	83	1460
54	83	1442
55	84	1423
56	84	1404
57	85	1385
58	85	1368
59	86	1350
60	86	1332
61	86	1314
62	87	1297
63	87	1281
64	88	1265
65	88	1250
66	88	1235
67	89	1222
68	89	1209
69	90	1197
70	90	1184
71	90	1171
72	91	1159
73	91	1147
74	92	1135
75	92	1124
76	92	1113
77	93	1103
78	93	1092
79	94	1083
80	94	1073
81	95	1063
82	95	1051
83	95	1042
84	96	1033
85	96	1024
86	96	1015
87	97	1006
88	97	998
89	98	991
90	98	986
91	99	980
92	99	972
93	100	964
94	100	956
95	100	950
96	101	943
97	101	935
98	102	928
99	102	921
100	102	914
101	103	907
102	103	900
103	103	894
104	104	887
105	104	881
106	104	875
107	105	869
108	105	863
109	105	856
110	106	851
111	106	846
112	107	840
113	107	835
114	107	830
115	108	825
116	108	819
117	108	814
118	109	810
119	109	805
120	110	800
121	110	794
122	110	789
123	111	785
124	111	780
125	111	776
126	112	771
127	112	766
128	112	762
129	113	759
130	114	758
131	114	755
132	115	751
133	115	747
134	116	744
135	116	741
136	117	737
137	117	733
138	117	729
139	118	725
140	118	722
141	118	717
142	119	713
143	119	710
144	119	707
145	120	703
146	120	700
147	121	696
148	121	693
149	121	689
150	122	686
151	122	683
152	122	679
153	123	676
154	123	673
155	123	669
156	124	667
157	124	664
158	125	661
159	125	658
160	125	654
161	125	651
162	126	648
163	126	645
164	126	642
165	127	639
166	127	636
167	127	633
168	128	631
169	129	630
170	129	628
171	130	626
172	130	624
173	130	621
174	131	618
175	131	616
176	132	614
177	132	612
178	132	609
179	133	607
180	133	605
181	134	602
182	134	600
183	134	597
184	135	595
185	135	593
186	135	590
187	136	588
188	136	586
189	136	583
190	137	581
191	137	579
192	138	577
193	138	575
194	139	574
195	139	572
196	139	570
197	140	568
198	140	565
199	140	563
200	141	561
201	141	559
202	142	557
203	142	555
204	142	553
